DIRETORIO
  POST
    arquivo existe | dir pai pode ser listado | dir pai pode ser lido | tem barra no fim do caminho | pode ser lido | RESULTADO (nginx) | (myProgram) |
          0        |             0            |           0           |             0               |       0       |        403        |     403     |
          0        |             0            |           0           |             0               |       1       |        403        |     403     |
          0        |             0            |           0           |             1               |       0       |        403        |     403     |
          0        |             0            |           0           |             1               |       1       |        403        |     403     |
          0        |             0            |           1           |             0               |       0       |        404        |     404     |
          0        |             0            |           1           |             0               |       1       |        404        |     404     |
          0        |             0            |           1           |             1               |       0       |        404        |     404     |
          0        |             0            |           1           |             1               |       1       |        404        |     404     |
          0        |             1            |           0           |             0               |       0       |        403        |     403     |
          0        |             1            |           0           |             0               |       1       |        403        |     403     |
          0        |             1            |           0           |             1               |       0       |        403        |     403     |
          0        |             1            |           0           |             1               |       1       |        403        |     403     |
          0        |             1            |           1           |             0               |       0       |        404        |     404     |
          0        |             1            |           1           |             0               |       1       |        404        |     404     |
          0        |             1            |           1           |             1               |       0       |        404        |     404     |
          0        |             1            |           1           |             1               |       1       |        404        |     404     |
          1        |             0            |           0           |             0               |       0       |        403        |     403     |
          1        |             0            |           0           |             0               |       1       |        403        |     403     |
          1        |             0            |           0           |             1               |       0       |        403        |     403     |
          1        |             0            |           0           |             1               |       1       |        403        |     403     |
          1        |             0            |           1           |             0               |       0       |        403        |     403     |
          1        |             0            |           1           |             0               |       1       |        301        |     301     |
          1        |             0            |           1           |             1               |       0       |        403        |     403     |
          1        |             0            |           1           |             1               |       1       |        403        |     403     |
          1        |             1            |           0           |             0               |       0       |        403        |     403     |
          1        |             1            |           0           |             0               |       1       |        403        |     403     |
          1        |             1            |           0           |             1               |       0       |        403        |     403     |
          1        |             1            |           0           |             1               |       1       |        403        |     403     |
          1        |             1            |           1           |             0               |       0       |        403        |     403     |
          1        |             1            |           1           |             0               |       1       |        301        |     301     |
          1        |             1            |           1           |             1               |       0       |        403        |     403     |
          1        |             1            |           1           |             1               |       1       |        403        |     403     |
